w,c,zh,en,us,core,ex,exz
shave,ʃeɪv,v&n. 剃；刮,"v&n. to cut off hair very close to the skin, especially from the face, using a  razor",ʃev,"【记忆】不要在阴暗处(shade)修面(shave) | 【短语】shave off (剃掉，刮掉), close shave (侥幸的脱险；差一点发生的意外)",He hadn’t shaved for days.,他已经好几天没刮脸了。
liaison,lɪ'eɪz(ə)n; -zɒn,n. 联络,"n. the regular exchange of information between groups of people, especially at work, so that each group knows what the other is doing",lɪ'ezɑn,"【短语】liaison office (联络处), liaison officer (n. 联络官), liaison committee (联络委员会)",Liaison between police forces and the art world is vital to combat art crime.,警方和艺术界之间的联络对于打击艺术犯罪是至关重要的。
flip,flɪp,v. 把往上抛，掷，抽打；v. 用指轻弹,v. to make a flat object such as a coin go upwards and turn over in the air,flɪp,"【短语】flip side ([引申]另一方面；唱片的反面；相对立的人), flip chip (倒装法；覆晶技术), flip over (翻页；翻过来)",We flipped a coin to see who would go first.,我们抛硬币决定谁先去。
shear,ʃɪə,v. 剪,v. to cut the wool off a sheep,ʃɪr,"【短语】shear stress ([物]剪应力；剪切应力), shear strength (切变强度), shear wall (剪力墙；抗震墙，耐震壁；风力墙)",Her long fair hair had been shorn.,她长长的金发已经剪掉了。
hover,'hɒvə,v. (鸟)盘旋，翱翔，(人)逗留在附近徘徊,"v. If you hover, you stay in one place and move slightly in a nervous way, for example because you cannot decide what to do",'hʌvɚ,【记忆】爱人(lover)在自己身边徘徊(hover) | 【短语】hover over (在…盘旋),Judith was hovering in the doorway.,朱迪丝在门口徘徊。
wax,waks,n. 蜡，蜂蜡；v. 上蜡,"n. a solid substance made of fat or oil and used to make candles, polish etc；v. to rub a layer of wax into a floor, surface etc to protect it or make it shine",waks,"【短语】paraffin wax (n. 固体石腊), on the wax (正在变大；在增加), wax printing (蜡染)",wax crayons,蜡笔
gaily,'geɪlɪ,adv. 快乐地，娱乐地,adv. in a happy way,'ɡeili,,"‘Morning, Albert,’ she called gaily.",“早安，艾伯特。”她快乐地喊道。
slide,slaɪd,n. 滑；幻灯片；v. 滑动,"n. a large structure with steps leading to the top of a long sloping surface which children can slide down；v. to move smoothly over a surface while continuing to touch it, or to make something move in this way",slaɪd,"【记忆】s + lid(盖子) + e → 盖子太滑， 从桌子上滑了下去 → 滑动， 下滑 | 【短语】on the slide (在滑板上；日益恶化), slide show (放映幻灯片), slide block (滑块；滑架)",a slide show,幻灯片放映
lump,lʌmp,n. 团，块，肿块；v. 合在一起，结块,"n. a small piece of something solid, without a particular shape；v. to put two or more different people or things together and consider them as a single group, sometimes wrongly",lʌmp,"【短语】lump sum (总额；汇总), lump coal (块煤), lump ore (块矿)",Strain the custard to remove lumps.,滤去牛奶蛋糊里的面块。
inspection,ɪn'spekʃn,n. 检查；审视，检阅,n. an official visit to a building or organization to check that everything is satisfactory and that rules are being obeyed,ɪn'spɛkʃən,"【短语】quality inspection (质量检查), inspection system (检查体系), commodity inspection (商品检验)",An inspection was carried out at the school.,有人来学校视察了一遍。
arena,ə'riːnə,n. 竞技场，比赛场所,"n. a building with a large flat central area surrounded by seats, where sports or entertainments take place",ə'rinə,,a sports arena,运动场
economical,iːkə'nɒmɪk(ə)l; ek-,adj. 节约的,"adj. using money, time, goods etc carefully and without wasting any",",ɛkə'nɑmɪkl","【短语】economical efficiency (经济效率，经济效果；经济有效), economical and practical (经济实用；经济实惠), economical operation (经济运行)",A small car is more economical to run.,开小型汽车比较省油。
magnetic,mæg'netɪk,adj. 有磁性的，有吸引力的,adj. concerning or produced by  magnetism,mæg'nɛtɪk,"【短语】magnetic field (磁场), magnetic resonance (磁共振；磁谐振), magnetic separation (磁选；磁性分离；磁力分离；磁力选矿)",magnetic forces,磁力
fluff,flʌf,n. (织物上的)绒毛；v. 抖开，抖松,"n. soft light bits of thread that have come from wool, cotton, or other materials；v. to make something soft become larger by shaking it",flʌf,,He was picking bits of fluff off his trousers.,他在揪裤子上的绒毛球。
cashier,kæ'ʃɪə; kə-,n. 出纳员,n. someone whose job is to receive or pay out money in a shop,kæ'ʃɪr,,The cashier absconded with the money.,出纳员携款潜逃。
maiden,'meɪd(ə)n,n. (文学)少女，未嫁女人；adj. 未婚女子的,"n. a young girl, or a woman who is not married",'medn,"【短语】maiden name (（女子的）婚前姓；娘家姓), iron maiden (铁娘子；铁处女（英国伦敦的重金属乐队）)",...stories of noble princes and their brave deeds on behalf of beautiful maidens.,…高贵的王子以及他们英雄救美的故事。
startle,'stɑːt(ə)l,v. 使大吃一惊,v. to make someone suddenly surprised or slightly shocked,'stɑrtl,,"Sorry, I didn’t mean to startle you.",抱歉，我不是故意吓你一跳的。
chill,tʃɪl,n&a&v. 寒冷，扫兴的，(使)感冒,n&a&v. a feeling of coldness,tʃɪl,"【记忆】c + hill(小山) → 山上 → 高处不胜寒 → 寒冷 | 【短语】chill out (冷静，冷静下来), wind chill (风寒)",There was a slight chill in the air .,空气中有些微的寒意。
reserve,rɪ'zɜːv,n&vt. 保存；预定,"n&vt. to arrange for a place in a hotel, restaurant, plane etc to be kept for you to use at a particular time in the future",rɪ'zɝv,"【记忆】re(再， 又) + serv(保持) + e → 预订； 保留 | 【短语】federal reserve (（美国）联邦储备系统), nature reserve (n. 自然保护区), in reserve (备用的；留下的)",Do you have to reserve tickets in advance?,你必须预先订票吗？
substitute,'sʌbstɪtjuːt,n. 代替人，代用品；v. 代替,"n. someone who does someone else’s job for a limited period of time, especially in a sports team or school；v. to use something new or diffe-rent instead of something else",'sʌbstɪtut,"【短语】substitute for (代替，取代), substitute fuel (代用燃料), substitute material (代用材料，代用品)",Germany brought on a substitute at half time.,德国队在比赛半场时换上一名替补队员。
auditorium,ɔːdɪ'tɔːrɪəm,n. 会堂；礼堂,n. a large building used for concerts or public meetings,",ɔdɪ'tɔrɪəm",【记忆】aud(听) + it + orium(表场所、 地点， 名词后缀) → 听(讲座等)的地方 → 礼堂； 观众席,...a high school auditorium.,…一所中学的礼堂。
esteem,ɪ'stiːm; e-,n&vt. 尊重，珍重,"n&vt. a feeling of respect for someone, or a good opinion of someone",ɪ'stim,"【记忆】e(音似： 一) + stee(看作steel, 钢铁) + m(看作man, 人) → 一个有钢铁般意志的人值得尊敬 → 尊重； 尊敬 | 【短语】self esteem (自尊)",Peden was greatly esteemed by the people of Ayrshire.,佩登深受艾尔郡人的尊敬。
creation,kriː'eɪʃ(ə)n,n. 创作，创造，创造物,n. the act of creating something,krɪ'eʃən,"【记忆】creat(e)(创造) + ion → 创造 | 【短语】value creation (价值创造), job creation (提供就业机会), poetry creation (诗歌文本)",a job creation scheme,创造就业机会的计划
manifest,'mænɪfest,adj. 明白的，明显的；v. 显示，出现,"adj. plain and easy to see；v. to show a feeling, attitude etc",'mænɪfɛst,"【记忆】mani(手) + fest(打) → 用手打人， 怒意很明显 → 明显的 | 【短语】manifest destiny (天定命运), assembly manifest ([计]程序集清单；装配件清单)",a manifest error of judgment,明显的判断错误
confer,kən'fɜː,v. 授予(称号，学位等)；协商,"v. to officially give someone a title etc, especially as a reward for something they have achieved",kən'fɝ,"【短语】confer with (协商；交换意见), confer on (vt. 授给（授予）)",The constitution also confers large powers on Brazil's 25 constituent states.,宪法还授予巴西25个成员州极大的权力。
underneath,ʌndə'niːθ,prep&ad. 在下面，在底下,prep&ad. directly under another object or covered by it,",ʌndɚ'niθ",,He got out of the car and looked underneath.,他下车往底下看了看。
hoist,hɒɪst,v. 升起，扯起，向上推；n. 起重机，升降机,"v. to raise, lift, or pull something up, especially using ropes；n. a piece of equipment used for lifting heavy objects with ropes",hɔɪst,"【短语】mine hoist (矿井提升机；矿井吊车), electric hoist (电动起重机；电葫芦；电动卷扬机), chain hoist (链式起重机；手动葫芦)",The crew hurried to hoist the flag.,船员们急忙把旗子升起来。
capacity,kə'pæsɪtɪ,n. 容量；容积；理解力；地位；资格,"n. the amount of space a container, room etc has to hold things or people",kə'pæsəti,"【记忆】cap(拿住) + ac + ity(表状态、 情况， 名词后缀) → 能拿住 → 能力 | 【短语】production capacity (生产能力；生产力), bearing capacity (承载量；结果能力；产仔能力), capacity for (…的能力)",The room had seating capacity for about 80.,这房间能坐80个人左右。
fuel,fjʊəl,n. 燃料；刺激感情之物；v. 供给燃料,"n. a substance such as coal, gas, or oil that can be burned to produce heat or energy；v. if you fuel a vehicle, or if it fuels up, fuel is put into it",'fjuəl,"【短语】fuel cell (燃料电池), fuel consumption (耗油量), fuel oil (燃料油，燃油，重油)",Coal is one of the cheapest fuels.,煤是最廉价的燃料之一。
incidentally,ɪnsɪ'dent(ə)lɪ,adv. 偶然地，顺便地,"adv. in a way that was not planned, but as a result of something else",",ɪnsɪ'dɛntli",,"Quite incidentally, I got some useful information at the party.",我在聚会上无意中得到了一些有用信息。
giggle,'gɪg(ə)l,v&n. 咯咯地笑，傻笑,"v&n. to laugh quickly, quietly, and in a high voice, because something is funny or because you are nervous or embarrassed",'ɡɪɡl,,If you can’t stop giggling you’ll have to leave the room.,如果你再咯咯地笑个不停，就给我离开屋子。
escort,'eskɔːt,n. 护卫者；护航舰；v. 护送，护卫,"n. a person or a group of people or vehicles that go with someone in order to protect or guard them；v. to take someone somewhere, especially when you are protecting or guarding them",ˈeskɔːrt,,a police escort,警察护卫队
lottery,'lɒt(ə)rɪ,n. 彩票,"n. a game used to make money for a state or a  charity  in which people buy tickets with a series of numbers on them. If their number is picked by chance, they win money or a prize.",'lɑtəri,"【短语】lottery ticket (彩票；奖券), welfare lottery (福利彩票)",a lottery ticket,彩票
retain,rɪ'teɪn,v. 保持，保有；聘请(律师),v. to keep something or continue to have something,rɪ'ten,【记忆】re(再， 又) + tain(拿住) → 一再拿住 → 保留； 保持,You have the right to retain possession of the goods.,你有权保留这些物品。
undercharge,ʌndə'tʃɑːdʒ,n. 潜流；(思想，情绪)暗流,,",ʌndɚ'tʃɑrdʒ",,,
synonym,'sɪnənɪm,n. 同义词,n. a word with the same meaning as another word in the same language,ˈsɪnənɪm,,"The term ""industrial democracy"" is often used as a synonym for worker participation.",“工业民主”这一词语常被用作“工人参与”的同义词。
turf,tɜːf,n. 草地，草皮,"n. a surface that consists of soil with grass on top, or an artificial surface that looks like this",tɝf,"【短语】on the turf (◎以赛马为业；赛马场上的赌客), artificial turf (人造草皮)",soft green turf,柔软的绿色草皮
